split,accuracy,macro_f1,weighted_f1,binary_drafted_precision,binary_drafted_recall,binary_drafted_f1,binary_drafted_auc,threshold
validation,0.9717265989569036,0.6556635836405494,0.9764768590463393,0.7755102040816326,0.8,0.7875647668393783,0.9933899009078503,0.33385615875076063
test,0.971953188054883,0.5272260787485579,0.979778145474535,0.37209302325581395,0.64,0.4705882352941177,0.9550550346514473,0.33385615875076063
